p4_file,table_size,exact_count,wildcard_count,table_memory_estimate_bytes,
0_1_1_2_0_1_1_0_3798.p4,3798,3,5,106344,
1_2_1_1_1_1_1_1_5216.p4,5216,0,8,146048,
0_0_1_2_1_0_1_1_5032.p4,5032,3,5,140896,
2_0_1_0_2_2_1_0_1259.p4,1259,3,5,35252,
0_2_0_0_2_2_0_0_2656.p4,2656,5,3,74368,
0_0_1_0_1_2_0_0_3155.p4,3155,5,3,88340,
1_1_0_0_1_2_0_0_1807.p4,1807,4,4,50596,
2_1_1_0_0_0_1_1_5859.p4,5859,3,5,164052,
0_1_0_0_2_0_0_1_5954.p4,5954,5,3,166712,
0_0_0_0_0_3_0_0_2700.p4,2700,7,0,62100,
0_0_1_1_2_2_1_1_5359.p4,5359,2,6,150052,
2_0_1_0_2_0_0_1_6880.p4,6880,4,4,192640,
0_0_0_2_2_1_0_0_3033.p4,3033,5,3,84924,
1_0_1_2_1_1_1_1_7389.p4,7389,1,7,206892,
2_2_1_1_0_2_1_1_6680.p4,6680,1,7,187040,
0_2_0_1_1_1_0_0_2751.p4,2751,4,4,77028,
2_2_0_1_1_2_1_0_5564.p4,5564,2,6,155792,
2_0_1_1_0_0_1_0_1131.p4,1131,4,4,31668,
0_1_0_1_0_1_1_1_5952.p4,5952,3,5,166656,
1_2_0_0_2_0_0_1_5762.p4,5762,4,4,161336,
1_1_0_2_2_2_0_1_2977.p4,2977,2,6,83356,
2_0_1_1_1_1_1_1_6415.p4,6415,1,7,179620,
1_1_0_2_2_1_0_1_3711.p4,3711,2,6,103908,
1_1_1_2_1_2_0_1_3080.p4,3080,1,7,86240,
0_1_0_0_0_2_0_1_4666.p4,4666,5,3,130648,
2_1_1_1_2_2_1_0_2805.p4,2805,1,7,78540,
2_1_0_1_1_2_0_0_1779.p4,1779,3,5,49812,
1_1_0_2_0_1_0_1_7528.p4,7528,3,5,210784,
0_0_1_0_2_0_0_1_6117.p4,6117,5,3,171276,
2_0_1_1_1_0_1_1_6373.p4,6373,2,6,178444,
0_2_1_2_1_1_0_0_689.p4,689,3,5,19292,
2_1_1_1_2_2_0_0_7910.p4,7910,2,6,221480,
2_0_1_2_0_1_0_1_6734.p4,6734,3,5,188552,
1_2_1_1_0_0_0_0_2174.p4,2174,4,4,60872,
2_0_0_0_2_0_0_1_5519.p4,5519,5,3,154532,
1_2_0_1_1_0_0_0_6590.p4,6590,4,4,184520,
1_1_1_2_1_2_0_0_4362.p4,4362,2,6,122136,
2_2_0_2_0_1_0_1_7099.p4,7099,3,5,198772,
0_2_0_2_0_0_0_0_3244.p4,3244,6,2,90832,
1_2_0_0_0_1_0_1_5012.p4,5012,4,4,140336,
1_2_1_1_2_0_1_1_532.p4,532,1,7,14896,
2_2_0_0_0_2_0_1_1077.p4,1077,4,4,30156,
2_0_0_1_0_2_1_1_309.p4,309,3,5,8652,
1_1_1_1_2_2_1_0_1769.p4,1769,1,7,49532,
1_2_0_2_0_0_1_0_4818.p4,4818,4,4,134904,
2_1_1_2_2_2_1_1_4811.p4,4811,0,8,134708,
2_2_0_2_2_0_0_1_5823.p4,5823,3,5,163044,
1_0_0_0_0_1_0_0_4165.p4,4165,6,2,116620,
0_1_0_2_2_2_1_1_4863.p4,4863,2,6,136164,
1_2_0_1_1_0_1_1_3699.p4,3699,2,6,103572,
2_0_0_1_0_1_1_1_484.p4,484,3,5,13552,
1_0_1_1_1_1_1_1_6017.p4,6017,1,7,168476,
1_2_1_2_2_2_1_1_4644.p4,4644,0,8,130032,
0_1_0_0_2_2_1_0_7573.p4,7573,4,4,212044,
2_2_0_0_1_0_0_1_2326.p4,2326,4,4,65128,
1_0_0_1_0_1_0_1_95.p4,95,4,4,2660,
0_1_1_2_2_0_1_1_2117.p4,2117,2,6,59276,
2_0_0_1_2_2_0_0_7435.p4,7435,4,4,208180,
1_0_0_1_1_2_1_1_87.p4,87,2,6,2436,
0_2_0_2_1_1_0_1_5172.p4,5172,3,5,144816,
2_0_1_1_1_1_1_1_6244.p4,6244,1,7,174832,
0_2_0_1_0_2_0_0_2299.p4,2299,5,3,64372,
0_2_1_1_2_0_0_1_4253.p4,4253,3,5,119084,
0_2_0_2_2_1_0_0_5698.p4,5698,4,4,159544,
1_0_1_1_2_2_0_0_2014.p4,2014,3,5,56392,
1_2_1_2_0_1_1_0_5214.p4,5214,2,6,145992,
2_0_1_2_2_1_0_1_5415.p4,5415,2,6,151620,
0_2_1_0_1_2_0_0_5451.p4,5451,4,4,152628,
1_1_1_0_2_2_1_1_7577.p4,7577,1,7,212156,
1_0_1_1_2_1_0_1_1141.p4,1141,2,6,31948,
0_1_0_1_2_2_1_0_2868.p4,2868,3,5,80304,
0_1_1_1_1_2_1_0_2381.p4,2381,2,6,66668,
0_1_1_1_1_0_1_0_5067.p4,5067,3,5,141876,
0_2_0_2_0_2_0_0_6360.p4,6360,5,3,178080,
2_2_0_2_2_2_0_0_6100.p4,6100,3,5,170800,
0_1_0_2_2_2_0_0_1153.p4,1153,4,4,32284,
0_0_1_1_1_1_0_0_5464.p4,5464,4,4,152992,
0_1_0_1_1_1_1_0_7498.p4,7498,3,5,209944,
0_2_1_2_2_1_1_1_3363.p4,3363,1,7,94164,
2_1_0_2_2_0_0_1_6186.p4,6186,3,5,173208,
2_2_1_2_0_0_1_0_108.p4,108,3,5,3024,
2_2_1_2_2_2_1_1_8021.p4,8021,0,8,224588,
2_0_0_2_2_0_1_1_964.p4,964,3,5,26992,
1_1_1_2_0_2_1_0_4666.p4,4666,2,6,130648,
0_1_0_0_2_1_0_1_6407.p4,6407,4,4,179396,
0_1_1_0_0_1_0_0_3227.p4,3227,5,3,90356,
0_0_1_2_0_1_0_1_3170.p4,3170,4,4,88760,
1_0_1_0_1_0_1_0_5935.p4,5935,4,4,166180,
1_0_0_2_0_1_1_1_753.p4,753,3,5,21084,
2_0_0_1_1_2_1_0_3324.p4,3324,3,5,93072,
0_0_0_2_0_0_0_1_5675.p4,5675,6,2,158900,
0_2_1_0_2_1_0_1_8118.p4,8118,3,5,227304,
1_2_1_0_0_2_1_0_6072.p4,6072,3,5,170016,
2_2_1_1_2_2_1_0_2328.p4,2328,1,7,65184,
2_0_0_0_0_0_1_0_7533.p4,7533,6,2,210924,
1_1_0_0_1_2_1_1_4626.p4,4626,2,6,129528,
0_1_0_2_1_2_1_0_1537.p4,1537,3,5,43036,
1_0_1_0_0_1_1_1_418.p4,418,3,5,11704,
2_0_0_1_1_0_1_1_6668.p4,6668,3,5,186704,
0_1_1_1_2_0_0_0_5524.p4,5524,4,4,154672,
1_1_0_2_1_2_0_0_4815.p4,4815,3,5,134820,
2_0_0_0_1_1_1_1_3334.p4,3334,3,5,93352,
2_1_1_0_2_2_0_0_1911.p4,1911,3,5,53508,
1_0_0_0_2_2_1_1_6033.p4,6033,3,5,168924,
2_0_0_1_1_2_1_0_533.p4,533,3,5,14924,
2_1_0_0_0_0_1_1_6901.p4,6901,4,4,193228,
2_2_1_0_1_0_1_0_1983.p4,1983,3,5,55524,
0_0_1_1_0_2_1_0_4795.p4,4795,4,4,134260,
2_2_1_0_0_0_0_1_6090.p4,6090,4,4,170520,
1_0_0_0_1_1_1_0_3271.p4,3271,4,4,91588,
0_0_0_1_2_1_0_0_5699.p4,5699,5,3,159572,
0_2_1_2_0_2_0_0_448.p4,448,4,4,12544,
1_1_1_2_1_2_1_0_5539.p4,5539,1,7,155092,
1_1_0_2_2_1_0_0_7199.p4,7199,3,5,201572,
0_0_0_2_0_1_0_0_7036.p4,7036,6,2,197008,
0_0_1_1_2_2_1_0_6257.p4,6257,3,5,175196,
2_2_0_2_2_2_1_0_5762.p4,5762,2,6,161336,
0_1_0_1_2_1_0_0_272.p4,272,4,4,7616,
0_1_1_1_0_1_0_1_2692.p4,2692,3,5,75376,
2_1_1_0_0_0_0_0_2364.p4,2364,5,3,66192,
1_2_0_1_2_1_0_0_1706.p4,1706,3,5,47768,
1_1_0_1_1_2_1_0_6351.p4,6351,2,6,177828,
0_0_0_1_1_2_0_1_6106.p4,6106,4,4,170968,
0_1_1_1_2_1_1_0_2164.p4,2164,2,6,60592,
1_0_1_1_0_1_0_0_8133.p4,8133,4,4,227724,
2_2_1_1_0_2_1_1_4732.p4,4732,1,7,132496,
0_0_0_3_0_0_0_0_7190.p4,7190,7,0,165370,
1_1_0_1_2_2_0_0_5634.p4,5634,3,5,157752,
1_2_0_2_1_1_1_1_4930.p4,4930,1,7,138040,
0_2_1_0_1_1_1_1_263.p4,263,2,6,7364,
2_2_0_2_1_0_1_0_2585.p4,2585,3,5,72380,
1_0_0_1_1_2_0_0_239.p4,239,4,4,6692,
2_0_1_0_2_1_1_0_5435.p4,5435,3,5,152180,
0_0_1_1_1_1_0_1_1514.p4,1514,3,5,42392,
0_2_1_0_2_2_0_1_6313.p4,6313,3,5,176764,
0_0_1_2_2_1_1_0_1580.p4,1580,3,5,44240,
0_0_0_0_1_2_0_0_1175.p4,1175,6,2,32900,
1_0_1_0_0_1_0_0_6146.p4,6146,5,3,172088,
0_1_0_1_2_2_0_1_5857.p4,5857,3,5,163996,
2_1_0_2_1_2_0_0_6359.p4,6359,3,5,178052,
1_2_0_0_2_1_1_0_7126.p4,7126,3,5,199528,
1_1_1_0_1_0_0_1_7654.p4,7654,3,5,214312,
1_1_0_2_1_1_1_1_2133.p4,2133,1,7,59724,
2_0_0_0_2_2_0_0_3963.p4,3963,5,3,110964,
2_2_0_0_0_0_0_1_5685.p4,5685,5,3,159180,
2_2_1_2_0_0_1_1_2938.p4,2938,2,6,82264,
2_2_0_0_1_2_0_0_987.p4,987,4,4,27636,
2_2_1_1_2_2_1_1_5324.p4,5324,0,8,149072,
2_2_1_0_1_1_1_0_6864.p4,6864,2,6,192192,
0_2_0_0_1_2_1_0_3795.p4,3795,4,4,106260,
1_0_1_1_1_1_1_0_8130.p4,8130,2,6,227640,
2_1_1_1_0_0_1_0_865.p4,865,3,5,24220,
1_1_0_1_0_2_1_1_5466.p4,5466,2,6,153048,
0_2_0_0_1_1_0_0_7698.p4,7698,5,3,215544,
1_2_1_0_0_0_1_0_1890.p4,1890,4,4,52920,
0_0_1_2_2_2_1_0_4612.p4,4612,3,5,129136,
1_2_0_0_1_2_0_0_2657.p4,2657,4,4,74396,
2_2_0_1_0_0_0_1_7292.p4,7292,4,4,204176,
1_0_1_0_2_2_1_0_5087.p4,5087,3,5,142436,
0_1_0_1_0_0_1_1_1654.p4,1654,4,4,46312,
1_0_1_0_1_0_1_0_5682.p4,5682,4,4,159096,
1_1_1_0_2_1_1_0_236.p4,236,2,6,6608,
2_1_1_0_2_0_0_0_3995.p4,3995,4,4,111860,
2_0_1_0_1_0_0_0_388.p4,388,5,3,10864,
1_2_0_0_1_2_0_1_1607.p4,1607,3,5,44996,
0_2_0_2_0_1_0_0_4269.p4,4269,5,3,119532,
2_0_1_0_0_0_1_0_3430.p4,3430,5,3,96040,
1_0_1_0_1_2_1_1_4125.p4,4125,2,6,115500,
0_0_1_2_0_1_1_0_904.p4,904,4,4,25312,
1_1_0_1_1_2_1_0_1050.p4,1050,2,6,29400,
1_1_1_2_2_0_0_0_2428.p4,2428,3,5,67984,
0_1_0_2_0_2_0_1_2877.p4,2877,4,4,80556,
1_2_0_1_2_0_0_1_7175.p4,7175,3,5,200900,
0_1_1_0_0_0_1_1_8049.p4,8049,4,4,225372,
0_2_0_2_1_0_1_1_192.p4,192,3,5,5376,
0_0_0_0_0_2_1_0_4373.p4,4373,6,2,122444,
1_0_0_0_0_2_1_0_3319.p4,3319,5,3,92932,
2_1_0_1_0_2_1_1_6182.p4,6182,2,6,173096,
0_0_0_2_0_1_1_1_2262.p4,2262,4,4,63336,
2_2_1_2_2_2_1_1_7386.p4,7386,0,8,206808,
2_1_1_1_0_1_1_1_6592.p4,6592,1,7,184576,
1_0_0_1_2_1_1_1_205.p4,205,2,6,5740,
0_1_0_1_1_1_1_0_1229.p4,1229,3,5,34412,
1_1_0_2_0_2_1_1_417.p4,417,2,6,11676,
0_0_0_2_1_2_1_0_7346.p4,7346,4,4,205688,
1_1_1_1_0_1_0_1_706.p4,706,2,6,19768,
0_2_0_2_0_2_0_1_3838.p4,3838,4,4,107464,
0_0_1_0_1_2_1_0_660.p4,660,4,4,18480,
1_0_1_0_0_1_0_0_7110.p4,7110,5,3,199080,
1_1_0_0_0_0_1_0_5021.p4,5021,5,3,140588,
0_2_0_0_1_1_0_1_2842.p4,2842,4,4,79576,
2_0_0_0_2_2_0_0_4146.p4,4146,5,3,116088,
0_1_0_2_0_2_1_1_5094.p4,5094,3,5,142632,
2_1_0_2_1_2_0_1_434.p4,434,2,6,12152,
1_2_1_2_2_0_0_1_162.p4,162,2,6,4536,
0_1_0_1_2_2_1_1_885.p4,885,2,6,24780,
2_2_1_2_1_2_1_1_2379.p4,2379,0,8,66612,
0_2_1_2_0_0_1_0_2348.p4,2348,4,4,65744,
0_1_0_1_0_2_0_1_7903.p4,7903,4,4,221284,
1_1_0_2_0_2_1_1_4918.p4,4918,2,6,137704,
2_2_0_0_2_2_1_0_4178.p4,4178,3,5,116984,
1_2_1_0_1_0_0_0_2632.p4,2632,4,4,73696,
1_0_0_1_2_2_0_1_1160.p4,1160,3,5,32480,
2_1_0_2_1_2_1_1_4501.p4,4501,1,7,126028,
1_1_1_2_2_2_1_0_5654.p4,5654,1,7,158312,
0_2_1_2_1_0_1_0_4575.p4,4575,3,5,128100,
0_1_1_0_0_0_1_1_5335.p4,5335,4,4,149380,
2_2_0_1_2_0_0_1_4154.p4,4154,3,5,116312,
1_0_0_2_2_0_1_1_5275.p4,5275,3,5,147700,
2_1_1_0_1_1_1_1_8038.p4,8038,1,7,225064,
1_0_1_2_0_1_1_0_3791.p4,3791,3,5,106148,
1_1_1_2_2_0_0_0_7478.p4,7478,3,5,209384,
1_0_1_0_2_1_0_0_2204.p4,2204,4,4,61712,
0_0_1_2_0_2_1_1_4718.p4,4718,3,5,132104,
0_1_0_2_0_1_0_1_300.p4,300,4,4,8400,
0_2_0_2_2_0_1_0_1479.p4,1479,4,4,41412,
0_1_0_2_2_2_0_1_2594.p4,2594,3,5,72632,
1_1_0_0_2_2_0_0_1657.p4,1657,4,4,46396,
0_0_1_2_1_2_0_0_1160.p4,1160,4,4,32480,
1_2_1_0_0_0_0_1_6081.p4,6081,4,4,170268,
2_1_0_0_0_2_0_0_5462.p4,5462,5,3,152936,
2_1_0_1_1_1_1_0_7300.p4,7300,2,6,204400,
0_2_1_2_1_1_0_0_6715.p4,6715,3,5,188020,
2_2_0_0_1_1_1_1_1423.p4,1423,2,6,39844,
2_2_0_0_0_0_1_1_4296.p4,4296,4,4,120288,
0_1_0_1_0_2_1_1_7844.p4,7844,3,5,219632,
0_0_1_0_0_2_0_0_7906.p4,7906,6,2,221368,
1_2_0_0_1_2_1_0_88.p4,88,3,5,2464,
1_0_1_0_1_2_0_0_2620.p4,2620,4,4,73360,
2_2_0_0_2_0_0_0_3374.p4,3374,5,3,94472,
2_0_0_2_2_2_0_1_4063.p4,4063,3,5,113764,
0_1_0_0_0_1_1_1_6570.p4,6570,4,4,183960,
0_2_1_1_2_0_0_0_8113.p4,8113,4,4,227164,
0_1_0_2_1_2_1_0_2807.p4,2807,3,5,78596,
0_0_0_1_0_2_1_1_7276.p4,7276,4,4,203728,
0_0_1_0_2_0_1_0_8172.p4,8172,5,3,228816,
2_1_0_0_1_1_1_1_2991.p4,2991,2,6,83748,
2_0_0_2_2_1_0_1_2005.p4,2005,3,5,56140,
1_0_1_0_0_2_0_1_2187.p4,2187,4,4,61236,
0_1_0_1_2_2_0_0_5597.p4,5597,4,4,156716,
2_2_0_0_1_2_0_0_1162.p4,1162,4,4,32536,
1_2_0_1_2_0_0_0_1836.p4,1836,4,4,51408,
2_2_1_2_2_0_1_0_868.p4,868,2,6,24304,
0_1_1_2_2_2_1_0_6166.p4,6166,2,6,172648,
2_1_1_2_1_1_0_1_5116.p4,5116,1,7,143248,
1_1_1_0_2_0_1_1_8153.p4,8153,2,6,228284,
2_0_0_1_1_2_1_0_6546.p4,6546,3,5,183288,
1_2_1_2_1_1_0_0_4493.p4,4493,2,6,125804,
2_0_1_2_0_1_0_0_5068.p4,5068,4,4,141904,
2_0_1_2_2_1_0_1_6130.p4,6130,2,6,171640,
1_1_0_1_2_0_1_0_1947.p4,1947,3,5,54516,
0_0_0_1_1_1_1_0_5412.p4,5412,4,4,151536,
1_1_0_1_2_1_0_0_5820.p4,5820,3,5,162960,
0_0_1_2_1_0_1_1_2732.p4,2732,3,5,76496,
1_2_0_1_1_2_0_1_7773.p4,7773,2,6,217644,
2_2_0_2_0_0_1_0_3454.p4,3454,4,4,96712,
2_1_0_1_2_2_0_0_3818.p4,3818,3,5,106904,
1_2_1_2_0_0_0_1_3354.p4,3354,3,5,93912,
1_0_1_1_1_2_0_0_7163.p4,7163,3,5,200564,
1_1_0_1_1_2_0_0_1271.p4,1271,3,5,35588,
0_2_0_0_1_2_0_1_2125.p4,2125,4,4,59500,
2_1_0_1_1_0_1_1_177.p4,177,2,6,4956,
2_2_0_0_0_2_0_0_3933.p4,3933,5,3,110124,
2_2_0_0_1_0_0_0_7643.p4,7643,5,3,214004,
2_1_0_2_0_0_0_1_8050.p4,8050,4,4,225400,
2_0_0_1_2_0_1_1_3871.p4,3871,3,5,108388,
2_0_0_2_1_1_1_1_3559.p4,3559,2,6,99652,
0_2_1_0_0_2_1_0_6981.p4,6981,4,4,195468,
0_2_0_1_2_0_0_0_7974.p4,7974,5,3,223272,
1_0_1_1_0_0_0_1_7084.p4,7084,4,4,198352,
1_0_0_0_1_1_1_0_2946.p4,2946,4,4,82488,
0_1_1_2_1_1_0_1_7196.p4,7196,2,6,201488,
2_1_1_1_0_1_0_0_626.p4,626,3,5,17528,
0_0_0_0_2_1_0_0_4134.p4,4134,6,2,115752,
2_0_0_2_0_1_0_0_5655.p4,5655,5,3,158340,
0_1_0_2_0_0_1_0_5244.p4,5244,5,3,146832,
2_2_0_2_0_1_0_1_5190.p4,5190,3,5,145320,
0_1_0_1_0_1_0_1_4699.p4,4699,4,4,131572,
0_1_1_2_0_1_1_0_2967.p4,2967,3,5,83076,
1_0_1_2_2_2_1_0_5968.p4,5968,2,6,167104,
0_0_0_2_2_1_1_1_4042.p4,4042,3,5,113176,
2_1_1_2_1_1_0_0_6426.p4,6426,2,6,179928,
