total_len,protocol,flags,ttl,src_port,dst_port,tcp_flags_2,tcp_flags_1,size,memory
2,2,1,2,2,2,2,3,609,593.92
2,2,1,2,2,3,2,2,673,450.56
2,1,2,2,3,2,2,2,73,286.72
1,2,3,2,2,2,2,2,784,471.04
2,2,2,2,3,2,2,1,938,727.04
2,2,2,2,2,1,2,2,1147,696.32
2,2,2,2,2,1,2,2,124,133.12
2,1,2,2,2,2,2,2,1317,716.8
1,2,2,2,2,2,2,2,132,552.96
2,1,2,2,2,2,2,2,1409,399.36
2,2,2,2,1,2,2,2,1433,778.24
2,2,1,2,2,2,2,2,1504,706.56
2,2,1,2,2,2,2,2,1618,849.92
2,2,2,1,2,2,2,2,1726,1034.24
2,2,1,2,2,2,2,2,1810,880.64
2,2,2,1,2,2,2,2,1866,952.32
2,1,2,2,2,2,2,2,1881,1146.88
2,2,2,2,2,2,2,1,2048,768.0
2,2,2,2,2,2,2,1,2063,1003.52
2,2,2,2,2,2,2,1,20,112.64
2,2,2,2,2,2,2,1,2191,870.4
2,2,2,2,2,2,2,1,2412,675.84
2,2,2,1,2,2,2,2,2467,952.32
2,2,2,2,2,2,1,2,2497,737.28
1,2,2,2,2,2,2,2,2525,1259.52
2,2,2,2,2,2,2,1,2676,1146.88
2,2,1,2,2,2,2,2,2875,972.8
2,2,2,2,2,2,2,1,2882,1044.48
1,2,2,2,2,2,2,2,3376,1075.2
2,2,2,2,1,2,2,2,3612,1239.04
2,2,1,2,2,2,2,2,3638,1024.0
2,2,1,2,2,2,2,2,363,266.24
2,2,1,2,2,2,2,2,3678,1331.2
2,2,1,2,2,2,2,2,3715,1208.32
2,2,2,1,2,2,2,2,428,409.6
2,2,2,2,2,2,1,2,473,317.44
2,2,2,2,2,2,2,1,543,399.36
2,2,2,2,2,2,2,1,650,430.08
2,2,2,2,1,2,2,2,782,532.48
2,2,2,2,2,2,1,2,787,665.6
2,2,1,2,2,2,2,2,860,675.84
2,1,2,2,2,2,2,2,888,491.52
2,2,2,2,2,2,1,2,941,481.28
2,0,3,2,3,2,2,3,1126,972.8
2,0,3,3,2,3,2,2,120,522.24
2,3,2,3,0,3,2,2,132,460.8
3,2,2,0,3,3,2,2,1409,880.64
2,3,0,2,3,2,3,2,1436,675.84
