total_len,protocol,flags,ttl,src_port,dst_port,tcp_flags_2,tcp_flags_1,size,cpu,memory
3,2,2,3,2,3,2,1,468,0.60,26.55
2,3,3,3,2,2,2,1,483,0.40,26.13
2,3,3,2,1,3,2,2,537,0.80,26.45
3,3,2,1,2,3,2,2,588,0.50,26.62
1,3,3,2,2,2,2,3,640,0.50,26.54
2,1,2,3,3,2,3,2,667,0.50,26.33
3,2,3,2,2,2,1,3,774,0.60,26.24
2,3,1,2,2,3,2,3,865,0.60,26.50
3,2,2,1,3,2,2,3,875,0.40,26.32
2,2,3,2,2,1,2,3,1076,0.50,26.38
2,2,2,2,3,2,3,1,1131,0.40,26.54
2,3,2,2,1,2,2,3,114,0.50,26.46
3,2,2,1,3,2,2,2,1339,0.50,26.69
3,2,2,2,2,3,1,2,1358,0.40,26.70
2,2,1,2,3,2,2,3,1395,0.50,26.59
2,2,2,2,2,3,1,3,1404,0.40,26.80
2,3,3,2,1,2,2,2,1406,0.50,26.97
1,2,2,2,3,2,2,3,1417,0.40,26.41
2,2,1,3,2,2,2,3,1475,0.50,26.69
2,3,2,3,2,1,2,2,1738,0.60,26.87
3,2,3,2,2,2,1,2,1762,0.50,26.71
2,2,2,2,2,1,3,3,1769,0.40,26.92
2,3,2,2,2,3,2,1,1792,0.40,26.94
3,3,2,2,2,2,2,1,1805,0.50,26.77
2,2,2,3,3,2,2,1,1823,0.50,26.78
3,2,2,2,2,3,2,1,1889,0.70,26.45
2,2,2,3,2,3,1,2,1964,0.50,26.78
2,3,2,3,2,2,2,1,205,0.60,26.22
1,3,2,2,3,2,2,2,2070,0.60,26.99
2,3,2,1,3,2,2,2,2083,0.50,26.83
3,2,2,2,1,2,2,3,2128,0.40,26.91
3,1,2,2,2,2,2,3,2137,0.50,26.94
3,2,2,2,3,1,2,2,2744,0.40,27.07
2,1,2,3,2,2,3,2,2813,0.50,26.99
3,2,1,2,2,3,2,2,286,0.50,26.39
2,2,3,2,3,2,1,2,297,0.50,26.45
2,1,3,2,2,2,2,3,2986,0.40,27.06
2,3,2,3,2,1,2,2,3053,0.60,27.01
2,2,2,3,1,3,2,2,3065,0.50,27.23
2,2,3,2,3,2,2,1,3066,0.50,27.24
3,2,2,2,1,2,3,2,3067,0.50,27.05
2,1,3,2,2,3,2,2,3111,0.40,27.02
3,2,3,2,2,2,2,1,311,0.60,26.44
2,3,2,2,3,2,1,2,3149,0.50,27.33
2,3,2,2,1,2,3,2,3274,0.40,26.98
2,1,3,2,2,2,2,3,331,0.40,26.21
3,2,2,2,3,2,1,2,3359,0.60,27.12
1,2,2,3,2,2,2,3,367,0.60,26.41
3,2,3,2,2,2,1,2,3823,0.50,27.60
2,3,3,2,2,2,1,2,3880,0.50,27.63
2,3,3,2,2,2,1,2,3916,0.50,27.29
2,2,1,2,3,3,2,2,3980,0.60,27.46
2,3,2,2,2,1,2,3,4042,0.60,27.32
2,3,1,2,2,2,3,2,4078,0.60,27.32
2,2,2,2,3,2,3,1,569,0.50,26.43
2,2,3,2,1,2,2,3,5,0.50,26.33
2,2,3,3,2,1,2,2,608,0.50,26.44
2,2,3,2,1,2,2,3,625,0.40,26.53
3,1,2,2,2,2,2,3,692,0.50,26.69
2,1,2,2,2,3,2,3,695,0.60,26.81
2,1,2,3,2,3,2,2,763,0.40,26.44
2,3,2,1,3,2,2,2,829,0.40,26.82
3,1,2,2,2,2,3,2,84,0.60,26.23
3,1,2,3,2,2,2,2,940,0.50,26.47
3,3,2,2,1,2,2,2,941,0.60,26.72
2,2,2,1,3,2,3,2,975,0.40,26.66
2,2,1,3,2,2,2,2,1005,0.60,26.76
2,3,2,1,2,2,2,2,1058,0.50,26.70
2,2,1,2,2,2,2,3,1147,0.60,26.55
1,2,2,2,2,3,2,2,1290,0.40,26.88
2,1,2,2,2,2,3,2,1349,0.50,26.97
3,2,2,2,2,1,2,2,1396,0.60,26.91
2,2,2,2,3,1,2,2,1504,0.40,26.93
2,2,1,3,2,2,2,2,1541,0.39,26.53
2,2,1,2,2,3,2,2,1547,0.60,26.73
2,2,3,2,2,2,1,2,1663,0.50,26.92
2,2,2,2,1,2,2,3,1685,0.50,27.00
2,1,3,2,2,2,2,2,1712,0.60,26.84
2,2,2,2,3,2,2,1,1772,0.50,26.73
2,2,2,3,2,2,2,1,1936,0.50,26.86
2,3,2,2,2,2,2,1,2044,0.50,26.87
2,2,2,2,3,2,2,1,2129,0.70,26.64
3,2,2,2,1,2,2,2,2178,0.50,27.05
2,2,2,2,2,1,3,2,2503,0.60,27.00
2,2,2,1,2,2,3,2,2699,0.50,26.85
2,2,2,3,2,1,2,2,2713,0.40,26.98
2,3,1,2,2,2,2,2,2885,0.50,27.25
2,2,2,2,2,2,1,3,289,0.50,26.48
2,3,2,2,1,2,2,2,2996,0.50,27.17
1,2,2,2,2,3,2,2,3021,0.50,27.00
2,2,2,1,2,2,2,3,3098,0.40,27.02
2,2,2,2,3,2,1,2,3183,0.50,26.80
2,1,2,2,2,2,2,3,3278,0.40,27.08
2,2,2,2,2,3,1,2,3423,0.60,27.41
2,2,2,2,2,1,2,3,357,0.50,26.65
2,2,2,3,2,1,2,2,3680,0.50,27.22
2,2,2,3,2,2,1,2,3884,0.60,27.52
2,1,2,3,2,2,2,2,3995,0.40,27.17
2,2,2,2,2,2,3,1,4064,0.60,27.34
1,2,2,2,2,2,2,3,4095,0.50,27.57
2,2,2,2,3,2,1,2,517,0.60,26.70
2,2,3,2,2,2,1,2,539,0.50,26.68
2,2,1,2,2,2,2,3,609,0.40,26.58
2,2,1,2,2,3,2,2,673,0.50,26.44
2,1,2,2,3,2,2,2,73,0.60,26.28
1,2,3,2,2,2,2,2,784,0.50,26.46
2,2,2,2,3,2,2,1,938,0.60,26.71
2,2,2,2,2,1,2,2,1147,0.50,26.68
2,2,2,2,2,1,2,2,124,0.50,26.13
2,1,2,2,2,2,2,2,1317,0.60,26.70
1,2,2,2,2,2,2,2,132,0.50,26.54
2,1,2,2,2,2,2,2,1409,0.60,26.39
2,2,2,2,1,2,2,2,1433,0.50,26.76
2,2,1,2,2,2,2,2,1504,0.40,26.69
2,2,1,2,2,2,2,2,1618,0.40,26.83
2,2,2,1,2,2,2,2,1726,0.50,27.01
2,2,1,2,2,2,2,2,1810,0.60,26.86
2,2,2,1,2,2,2,2,1866,0.60,26.93
2,1,2,2,2,2,2,2,1881,0.50,27.12
2,2,2,2,2,2,2,1,2048,0.40,26.75
2,2,2,2,2,2,2,1,2063,0.50,26.98
2,2,2,2,2,2,2,1,20,0.60,26.11
2,2,2,2,2,2,2,1,2191,0.50,26.85
2,2,2,2,2,2,2,1,2412,0.50,26.66
2,2,2,1,2,2,2,2,2467,0.50,26.93
2,2,2,2,2,2,1,2,2497,0.60,26.72
1,2,2,2,2,2,2,2,2525,0.50,27.23
2,2,2,2,2,2,2,1,2676,0.50,27.12
2,2,1,2,2,2,2,2,2875,0.60,26.95
2,2,2,2,2,2,2,1,2882,0.50,27.02
1,2,2,2,2,2,2,2,3376,0.50,27.05
2,2,2,2,1,2,2,2,3612,0.60,27.21
2,2,1,2,2,2,2,2,3638,0.50,27.00
2,2,1,2,2,2,2,2,363,0.50,26.26
2,2,1,2,2,2,2,2,3678,0.60,27.30
2,2,1,2,2,2,2,2,3715,0.50,27.18
2,2,2,1,2,2,2,2,428,0.50,26.40
2,2,2,2,2,2,1,2,473,0.60,26.31
2,2,2,2,2,2,2,1,543,0.50,26.39
2,2,2,2,2,2,2,1,650,0.40,26.42
2,2,2,2,1,2,2,2,782,0.50,26.52
2,2,2,2,2,2,1,2,787,0.60,26.65
2,2,1,2,2,2,2,2,860,0.40,26.66
2,1,2,2,2,2,2,2,888,0.50,26.48
2,2,2,2,2,2,1,2,941,0.60,26.47
2,0,3,2,3,2,2,3,1126,0.50,26.95
2,0,3,3,2,3,2,2,120,0.50,26.51
2,3,2,3,0,3,2,2,132,0.40,26.45
3,2,2,0,3,3,2,2,1409,0.60,26.86
2,3,0,2,3,2,3,2,1436,0.50,26.66
2,2,0,3,2,3,3,2,1527,0.40,26.76
3,3,2,2,3,2,2,0,1641,0.50,26.56
2,2,3,0,3,2,2,3,1775,0.50,26.68
0,3,2,2,2,3,3,2,1821,0.70,27.02
2,3,3,2,2,3,0,2,1832,0.50,26.91
3,2,2,0,2,3,3,2,1888,0.49,26.75
2,3,2,3,3,2,2,0,1979,0.50,26.70
2,2,3,0,2,3,3,2,2094,0.50,26.90
3,3,2,2,0,3,2,2,2152,0.60,26.93
2,0,2,2,3,3,3,2,2181,0.50,26.89
