program_name,size,max_stages,total_tcam_used,total_sram_used,tcam_percent,sram_percent,match_total_len,match_protocol,match_flags_1,match_ttl,match_src_port,match_dst_port,match_tcp_flags_2,match_tcp_flags_1,stages_tcam_details,stages_sram_details
batch2_01323_rrtrerle_size_19164,19164,16,376,16,130.56,1.67,range,range,ternary,range,exact,range,lpm,exact,24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|16,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_01362_trlrrrtt_size_18152,18152,15,356,15,123.61,1.56,ternary,range,lpm,range,range,range,ternary,ternary,24|24|24|24|24|24|24|24|24|24|24|24|24|24|20,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_01419_rrerrrtl_size_14103,14103,18,345,18,119.79,1.88,range,range,exact,range,range,range,ternary,lpm,20|20|20|20|20|20|20|20|20|20|20|20|20|20|20|20|20|5,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_01437_erlrrrte_size_17523,17523,15,344,15,119.44,1.56,exact,range,lpm,range,range,range,ternary,exact,24|24|24|24|24|24|24|24|24|24|24|24|24|24|8,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_01478_rrerrtel_size_19671,19671,17,388,17,134.72,1.77,range,range,exact,range,range,ternary,exact,lpm,24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|4,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_01504_rttttrte_size_19944,19944,13,294,13,102.08,1.35,range,ternary,ternary,ternary,ternary,range,ternary,exact,24|24|24|24|24|24|24|24|24|24|24|24|6,1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_01587_rletrttt_size_19952,19952,13,294,13,102.08,1.35,range,lpm,exact,ternary,range,ternary,ternary,ternary,24|24|24|24|24|24|24|24|24|24|24|24|6,1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_01624_rrerrrel_size_14760,14760,19,365,19,126.74,1.98,range,range,exact,range,range,range,exact,lpm,20|20|20|20|20|20|20|20|20|20|20|20|20|20|20|20|20|20|5,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_01696_rretltet_size_19700,19700,13,291,13,101.04,1.35,range,range,exact,ternary,lpm,ternary,exact,ternary,24|24|24|24|24|24|24|24|24|24|24|24|3,1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_01734_rrtrtrle_size_16813,16813,14,332,14,115.28,1.46,range,range,ternary,range,ternary,range,lpm,exact,24|24|24|24|24|24|24|24|24|24|24|24|24|20,1|1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_01752_rrerrtee_size_16826,16826,14,332,14,115.28,1.46,range,range,exact,range,range,ternary,exact,exact,24|24|24|24|24|24|24|24|24|24|24|24|24|20,1|1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_01820_tlerrttt_size_19866,19866,13,291,13,101.04,1.35,ternary,lpm,exact,range,range,ternary,ternary,ternary,24|24|24|24|24|24|24|24|24|24|24|24|3,1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_01839_retrrrlt_size_18596,18596,16,364,16,126.39,1.67,range,exact,ternary,range,range,range,lpm,ternary,24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|4,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_01846_reeeetet_size_19668,19668,13,291,13,101.04,1.35,range,exact,exact,exact,exact,ternary,exact,ternary,24|24|24|24|24|24|24|24|24|24|24|24|3,1|1|1|1|1|1|1|1|1|1|1|1|1
batch2_01857_rrertrtl_size_19812,19812,17,388,17,134.72,1.77,range,range,exact,range,ternary,range,ternary,lpm,24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|4,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
sample_00069_ererrrel_size_18786,18786,16,368,16,127.78,1.67,exact,range,exact,range,range,range,exact,lpm,24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|8,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
sample_00101_ererrrlt_size_18411,18411,15,360,15,125.0,1.56,exact,range,exact,range,range,range,lpm,ternary,24|24|24|24|24|24|24|24|24|24|24|24|24|24|24,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
sample_00170_rreerret_size_17071,17071,14,336,14,116.67,1.46,range,range,exact,exact,range,range,exact,ternary,24|24|24|24|24|24|24|24|24|24|24|24|24|24,1|1|1|1|1|1|1|1|1|1|1|1|1|1
sample_00181_rletteee_size_19968,19968,13,294,13,102.08,1.35,range,lpm,exact,ternary,ternary,exact,exact,exact,24|24|24|24|24|24|24|24|24|24|24|24|6,1|1|1|1|1|1|1|1|1|1|1|1|1
sample_00183_trtrrrle_size_19969,19969,17,392,17,136.11,1.77,ternary,range,ternary,range,range,range,lpm,exact,24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|24|8,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
sample_00198_rrtrtrtt_size_16705,16705,14,328,14,113.89,1.46,range,range,ternary,range,ternary,range,ternary,ternary,24|24|24|24|24|24|24|24|24|24|24|24|24|16,1|1|1|1|1|1|1|1|1|1|1|1|1|1
sample_00228_reerrrle_size_17679,17679,15,348,15,120.83,1.56,range,exact,exact,range,range,range,lpm,exact,24|24|24|24|24|24|24|24|24|24|24|24|24|24|12,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
sample_00278_tlerrree_size_19999,19999,13,294,13,102.08,1.35,ternary,lpm,exact,range,range,range,exact,exact,24|24|24|24|24|24|24|24|24|24|24|24|6,1|1|1|1|1|1|1|1|1|1|1|1|1
sample_00302_rrtrrelt_size_17427,17427,15,344,15,119.44,1.56,range,range,ternary,range,range,exact,lpm,ternary,24|24|24|24|24|24|24|24|24|24|24|24|24|24|8,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
sample_00397_tetrrree_size_19868,19868,13,294,13,102.08,1.35,ternary,exact,ternary,range,range,range,exact,exact,24|24|24|24|24|24|24|24|24|24|24|24|6,1|1|1|1|1|1|1|1|1|1|1|1|1
sample_00422_rttrrlte_size_19815,19815,13,291,13,101.04,1.35,range,ternary,ternary,range,range,lpm,ternary,exact,24|24|24|24|24|24|24|24|24|24|24|24|3,1|1|1|1|1|1|1|1|1|1|1|1|1
